Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Jurnal Energi Dan Manufaktur,Peer review,No,NA,Yes,23025255
Jurnal Magister Hukum Udayana,Peer review,No,NA,Yes,2302528X
Jurnal Teknik Pertanian Lampung,Anonymous peer review,Yes,400000 IDR,Yes,2302559X
International Journal of Science and Engineering,Peer review,No,NA,Yes,23025743
"Lingua Franca: Jurnal Bahasa, Sastra, dan Pengajarannya",Double anonymous peer review,No,NA,Yes,23025778
Nature: National Academic Journal of Architecture,Peer review,Yes,300000 IDR,Yes,23026073
Assets: Jurnal Akuntansi dan Pendidikan,Anonymous peer review,Yes,1000000 IDR,Yes,23026251
Jurnal Aplikasi Manajemen,Anonymous peer review,Yes,2000000 IDR,Yes,23026332
Jurnal Pembangunan Pendidikan Fondasi dan Aplikasi,Double anonymous peer review,Yes,200000 IDR,Yes,23026383
Ovozoa: Journal of Animal Reproduction,Double anonymous peer review,No,NA,Yes,23026464
Journal of Basic Medical Veterinary,Double anonymous peer review,Yes,350000 IDR,Yes,23026820
Sport and Fitness Journal,Peer review,No,NA,Yes,2302688X
Jurnal Biometrika dan Kependudukan,Double anonymous peer review,Yes,750000 IDR,Yes,2302707X
Al-Mazaahib,Double anonymous peer review,No,NA,Yes,23027355
Teosofia: Indonesian Journal of Islamic Mysticism,Double anonymous peer review,No,NA,Yes,23028017
Jurnal Ranah Komunikasi,Anonymous peer review,Yes,50 USD,Yes,23028106
Sistemasi: Jurnal Sistem Informasi,Peer review,No,NA,Yes,23028149
"The Indonesian Journal of Gastroenterology, Hepatology and Digestive Endoscopy",Double anonymous peer review,No,NA,Yes,23028181
Indonesian Accounting Review,Anonymous peer review,No,NA,Yes,2302822X
Erudio: Journal of Educational Innovation,Double anonymous peer review,Yes,850000 IDR,Yes,2302884X
"Jurnal Manajemen, Strategi Bisnis dan Kewirausahaan",Double anonymous peer review,Yes,1500000 IDR,Yes,23028890
E-Jurnal Manajemen,Peer review,Yes,750000 IDR,Yes,23028912
Humanis,Peer review,Yes,800000 IDR,Yes,2302920X
Humaniora,Double anonymous peer review,Yes,80 USD,Yes,23029269
Keunis,Double anonymous peer review,Yes,400000 IDR,Yes,23029315
International Journal of Islamic Khazanah,Double anonymous peer review,No,NA,Yes,23029366
BioEdu: Berkala Ilmiah Pendidikan Biologi,Peer review,No,NA,Yes,23029528
International Journal of Islamic Khazanah,Double anonymous peer review,No,NA,Yes,23029781
JPP (Jurnal Pendidikan dan Pembelajaran),Double anonymous peer review,Yes,1000000 IDR,Yes,2302996X
Jurnal Akuntansi,Double anonymous peer review,Yes,351000 IDR,Yes,23030356
Jurnal Akuntansi,Double anonymous peer review,Yes,351000 IDR,Yes,23030364
Jurnal Bahan Alam Terbarukan,Peer review,No,NA,Yes,23030623
Jurnal Ilmiah Akuntansi dan Bisnis,Double anonymous peer review,Yes,1500000 IDR,Yes,23031018
e-Jurnal Medika Udayana,Peer review,No,NA,Yes,23031395
J-Intech (Journal of Information and Technology),Anonymous peer review,Yes,350000 IDR,Yes,23031425
Primary: Jurnal Pendidikan Guru Sekolah Dasar,Peer review,Yes,600000 IDR,Yes,23031514
Scientiae Educatia: Jurnal Pendidikan Sains,Double anonymous peer review,Yes,600000 IDR,Yes,23031530
EQUILIBRIUM: Jurnal Ilmiah Ekonomi dan Pembelajarannya,Anonymous peer review,Yes,300000 IDR,Yes,23031565
Jurnal Agro Veteriner,Double anonymous peer review,No,NA,Yes,23031697
E-Jurnal Matematika,Peer review,No,NA,Yes,23031751
Jurnal Ilmiah Pendidikan Fisika Al-Biruni,Double anonymous peer review,Yes,250000 IDR,Yes,23031832
Jurnal Ilmiah Peternakan Terpadu,Double anonymous peer review,Yes,500000 IDR,Yes,23031956
Jurnal Biologi Universitas Andalas,Anonymous peer review,Yes,500000 IDR,Yes,23032162
Jurnal Ilmu Sosial dan Humaniora,Double anonymous peer review,Yes,750000 IDR,Yes,23032898
Jurnal Matematika UNAND,Double anonymous peer review,Yes,1000000 IDR,Yes,2303291X
ELT Worldwide: Journal of English Language Teaching,Anonymous peer review,No,NA,Yes,23033037
Jurnal Iqtisad,Double anonymous peer review,Yes,500000 IDR,Yes,23033223
Jurnal Ekonomi Pendidikan dan Kewirausahaan,Anonymous peer review,No,NA,Yes,2303324X
Journal of Business & Banking,Anonymous peer review,Yes,1000000 IDR,Yes,23033460
Jurnal Eduscience,Double anonymous peer review,Yes,300000 IDR,Yes,2303355X
Iqtishaduna: Jurnal Ilmiah Ekonomi Kita,Double anonymous peer review,Yes,1750000 IDR,Yes,23033568
Jurnal Administrasi Kesehatan Indonesia,Double anonymous peer review,No,NA,Yes,23033592
Edutainment: Jurnal Ilmu Pendidikan dan Kependidikan,Double anonymous peer review,Yes,300000 IDR,Yes,2303372X
Placentum,Double anonymous peer review,Yes,300000 IDR,Yes,23033746
Jurnal IUS,Double anonymous peer review,Yes,1500000 IDR,Yes,23033827
Godišnjak,Double anonymous peer review,No,NA,Yes,23034513
ExELL (Explorations in English Language and Linguistics),Double anonymous peer review,No,NA,Yes,23034858
ECONOMICS,Double anonymous peer review,Yes,300 EUR,Yes,23035013
AGG+,Double anonymous peer review,Yes,100 EUR,Yes,23036036
Economic Review,Double anonymous peer review,No,NA,Yes,2303680X
Glasnik Šumarskog Fakulteta Univerziteta u Banjoj Luci,Double anonymous peer review,No,NA,Yes,2303694X
Naša Škola,Double anonymous peer review,No,NA,Yes,23037091
Hum,Double anonymous peer review,No,NA,Yes,23037431
Historijska Misao,Double anonymous peer review,No,NA,Yes,23037539
Scripta Medica,Anonymous peer review,No,NA,Yes,23037954
Historijska Misao,Double anonymous peer review,No,NA,Yes,23038543
Književni Jezik,Double anonymous peer review,No,NA,Yes,23038683
Bosniaca,Double anonymous peer review,No,NA,Yes,23038888
Хірургія дитячого віку,Double anonymous peer review,No,NA,Yes,23040041
Anales de la Academia de Ciencias de Cuba,Peer review,No,NA,Yes,23040106
Управленческие науки,Anonymous peer review,No,NA,Yes,2304022X
Український Журнал Нефрології та Діалізу,Double anonymous peer review,Yes,350 EUR,Yes,23040238
Клиническая и специальная психология,Double anonymous peer review,No,NA,Yes,23040394
Sol Nascente,Double anonymous peer review,No,NA,Yes,23040688
Open Praxis,Double anonymous peer review,No,NA,Yes,2304070X
Slovene,Double anonymous peer review,No,NA,Yes,23040785
Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Hìmìâ,Peer review,No,NA,Yes,23040947
آثار الرافدين,Double anonymous peer review,Yes,115000 IQD,Yes,2304103X
"Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Bìblìotekoznavstvo, Bìblìografoznavstvo, Knigoznavstvo",Double anonymous peer review,No,NA,Yes,23041447
Ветеринария сегодня,Anonymous peer review,No,NA,Yes,2304196X
Correspondencias & Análisis,Double anonymous peer review,No,NA,Yes,23042265
Вопросы управления,Double anonymous peer review,No,NA,Yes,23043369
Муниципалитет: экономика и управление,Double anonymous peer review,No,NA,Yes,23043385
Russian Open Medical Journal,Double anonymous peer review,No,NA,Yes,23043415
Debates en Sociología,Double anonymous peer review,No,NA,Yes,23044284
Economía,Double anonymous peer review,No,NA,Yes,23044306
Educación,Double anonymous peer review,No,NA,Yes,23044322
Horizonte de la Ciencia,Double anonymous peer review,No,NA,Yes,23044330
Современная зарубежная психология,Double anonymous peer review,No,NA,Yes,23044977
Revista de la Facultad de Medicina,Double anonymous peer review,No,NA,Yes,23045329
Revista de la Facultad de Medicina,Double anonymous peer review,No,NA,Yes,23045353
Алматы технологиялық университетінің хабаршысы,Double anonymous peer review,Yes,6500 KZT,Yes,2304568X
Детские чтения,Double anonymous peer review,No,NA,Yes,23045817
"Вісник Харківського національного університету імені В.Н. Каразіна. Серія: Математичне моделювання, інформаційні технології, автоматизовані системи управління",Double anonymous peer review,No,NA,Yes,23046201
Vestnik MGSU,Anonymous peer review,No,NA,Yes,23046600
Photonics,Anonymous peer review,Yes,2400 CHF,Yes,23046732
Inorganics,Anonymous peer review,Yes,2700 CHF,Yes,23046740
Dentistry Journal,Anonymous peer review,Yes,2000 CHF,Yes,23046767
Publications,Anonymous peer review,Yes,1400 CHF,Yes,23046775
Foods,Anonymous peer review,Yes,2900 CHF,Yes,23048158
South African Journal of Libraries and Information Science,Double anonymous peer review,Yes,20000 ZAR,Yes,23048263
Journal of African Real Estate Research,Double anonymous peer review,No,NA,Yes,23048395
Koers : Bulletin for Christian Scholarship,Double anonymous peer review,Yes,513 ZAR,Yes,23048557
Ендоваскулярна нейрорентгенохірургія,Double anonymous peer review,No,NA,Yes,23049359
Antropologìčnì Vimìri Fìlosofsʹkih Doslìdžen',Anonymous peer review,Yes,3751 UAH,Yes,23049685
Ukrainian Food Journal,Double anonymous peer review,No,NA,Yes,2304974X
Научно-технические ведомости СПбГПУ: Экономические науки,Anonymous peer review,No,NA,Yes,23049774
Известия Саратовского университета. Новая серия. Серия Акмеология образования: Психология развития,Double anonymous peer review,No,NA,Yes,23049790
Asian Pacific Journal of Reproduction,Double anonymous peer review,No,NA,Yes,23050500
Asian Pacific Journal of Reproduction,Double anonymous peer review,No,NA,Yes,23050519
Investigación Agraria,Double anonymous peer review,No,NA,Yes,23050683
Евразийский Кардиологический Журнал,Double anonymous peer review,No,NA,Yes,23050748
In die Skriflig,Double anonymous peer review,Yes,14796 ZAR,Yes,23050853
Разработка и регистрация лекарственных средств,Double anonymous peer review,No,NA,Yes,23052066
Derecho PUCP,Double anonymous peer review,No,NA,Yes,23052546
African Invertebrates,Open peer review,Yes,300 EUR,Yes,23052562
Khyber Medical University Journal,Anonymous peer review,Yes,3000 PKR,Yes,23052643
Khyber Medical University Journal,Anonymous peer review,Yes,3000 PKR,Yes,23052651
Кардіохірургія та інтервенційна кардіологія,Double anonymous peer review,No,NA,Yes,23053127
Hazara Islamicus,Double anonymous peer review,No,NA,Yes,23053283
Revista Peruana de Investigación Materno Perinatal,Double anonymous peer review,No,NA,Yes,23053887
Глобальная ядерная безопасность,Double anonymous peer review,No,NA,Yes,2305414X
Scriptura,Double anonymous peer review,Yes,7200 ZAR,Yes,2305445X
Stroitel’stvo: Nauka i Obrazovanie,Double anonymous peer review,No,NA,Yes,23055502
مجلة كلية الشريعة والدراسات الإسلامية,Double anonymous peer review,No,NA,Yes,23055545
Revista Científica de FAREM-Estelí,Double anonymous peer review,No,NA,Yes,23055790
Техніко-технологічні аспекти розвитку та випробування нової техніки і технологій для сільського господарства України,"Open peer review, Double anonymous peer review",Yes,1000 UAH,Yes,23055987
مجلة فنون البصرة,Double anonymous peer review,Yes,100 USD,Yes,23056002
Logistics,Anonymous peer review,Yes,1400 CHF,Yes,23056290
Toxics,Anonymous peer review,Yes,2600 CHF,Yes,23056304
Medicines,Anonymous peer review,Yes,1400 CHF,Yes,23056320
Journal of Research in Social Sciences,Double anonymous peer review,Yes,20000 PKR,Yes,23056533
Standards,Anonymous peer review,Yes,1000 CHF,Yes,23056703
Slovene,Double anonymous peer review,No,NA,Yes,23056754
International Journal of Corrosion and Scale Inhibition,Anonymous peer review,Yes,250 USD,Yes,23056894
Family Medicine and Community Health,Double anonymous peer review,No,NA,Yes,23056983
Journal of Groundwater Science and Engineering,Double anonymous peer review,No,NA,Yes,23057068
ChemEngineering,Anonymous peer review,Yes,1600 CHF,Yes,23057084
ACRN Journal of Finance and Risk Perspectives,Double anonymous peer review,Yes,80 EUR,Yes,23057394
Conexión,Double anonymous peer review,No,NA,Yes,23057467
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 10. Innovacionnaâ Deâtelʹnostʹ,Double anonymous peer review,No,NA,Yes,23057815
Global Cardiology Science & Practice,Anonymous peer review,No,NA,Yes,23057823
RADS Journal of Biological Research & Applied Science,Double anonymous peer review,No,NA,Yes,23058722
Латиноамериканский исторический альманах,Double anonymous peer review,No,NA,Yes,23058773
South African Journal of Obstetrics and Gynaecology,Double anonymous peer review,Yes,7500 ZAR,Yes,23058862
Vìsnik Nacìonalʹnogo Tehnìčnogo Unìversitetu Ukraïni Kiïvsʹkij Polìtehničnij Institut. Serìâ Mašinobuduvannâ,Peer review,Yes,100 UAH,Yes,23059001
Вестник Южно-Уральского государственного университета: Серия Вычислительная математика и информатика,Anonymous peer review,No,NA,Yes,23059052
Journal of Research in Social Sciences,Double anonymous peer review,Yes,20000 PKR,Yes,2306112X
Vestnik Omskoj Ûridičeskoj Akademii,Peer review,No,NA,Yes,23061340
Ingeniería Agrícola,Double anonymous peer review,No,NA,Yes,23061545
"Zemleustrìj, Kadastr ì Monìtorìng Zemelʹ",Double anonymous peer review,Yes,1500 UAH,Yes,23061677
Ìнформаційні технології в освіті,Double anonymous peer review,No,NA,Yes,23061707
Vestnik of Vitebsk State Technological University,Double anonymous peer review,No,NA,Yes,23061774
Serie Científica de la Universidad de las Ciencias Informáticas,Double anonymous peer review,No,NA,Yes,23062495
Pitannâ Lìteraturoznavstva,Double anonymous peer review,Yes,600 UAH,Yes,23062908
Проблемы анализа,Anonymous peer review,No,NA,Yes,23063424
Проблемы анализа,Anonymous peer review,No,NA,Yes,23063432
Economics & Sociology,Double anonymous peer review,Yes,650 EUR,Yes,23063459
Journal of International Studies,Double anonymous peer review,Yes,650 EUR,Yes,23063483
Эндокринная хирургия,Double anonymous peer review,No,NA,Yes,23063513
Українське Pелігієзнавство,Double anonymous peer review,Yes,40 USD,Yes,23063548
Соціологічні студії,Double anonymous peer review,Yes,1680 UAH,Yes,23063971
Поволжская археология,Double anonymous peer review,No,NA,Yes,23064099
Современная терапия психических расстройств,Peer review,No,NA,Yes,23064137
Zaporožskij Medicinskij Žurnal,Peer review,No,NA,Yes,23064145
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 11. Estestvennye Nauki,Double anonymous peer review,No,NA,Yes,23064153
Львівський клінічний вісник,Peer review,No,NA,Yes,23064269
Galician Medical Journal,Double anonymous peer review,No,NA,Yes,23064285
Фінансово-кредитна діяльність: проблеми теорії та практики,Double anonymous peer review,Yes,860 USD,Yes,23064994
African Evaluation Journal,Double anonymous peer review,Yes,16880 ZAR,Yes,23065133
Hydrology,Anonymous peer review,Yes,1800 CHF,Yes,23065338
Bioengineering,Anonymous peer review,Yes,2700 CHF,Yes,23065354
Ожирение и метаболизм,Double anonymous peer review,No,NA,Yes,23065524
Порівняльно-педагогічні студії,Double anonymous peer review,Yes,50 EUR,Yes,23065532
Beverages,Anonymous peer review,Yes,1600 CHF,Yes,23065710
Data,Anonymous peer review,Yes,1600 CHF,Yes,23065729
Вісник Харківського національного університету імені В.Н. Каразіна. Серия: Теорія культури та філософіі науки,Double anonymous peer review,No,NA,Yes,23066687
Scientia Agropecuaria,Double anonymous peer review,Yes,250 USD,Yes,23066741
Veterinary Sciences,Anonymous peer review,Yes,2600 CHF,Yes,23067381
Patologìâ,Peer review,Yes,750 UAH,Yes,23068027
African Journal of Nephrology,Double anonymous peer review,Yes,100 USD,Yes,23068205
Ciencia & Futuro,Double anonymous peer review,No,NA,Yes,2306823X
Revista de Investigaciones Altoandinas,Double anonymous peer review,No,NA,Yes,23068582
Retos de la Dirección,Peer review,No,NA,Yes,23069155
Аграрный вестник Урала,Double anonymous peer review,Yes,6600 RUB,Yes,23070005
"Economic and Social Changes: Facts, Trends, Forecast",Double anonymous peer review,No,NA,Yes,23070331
Medičnì Perspektivi,Double anonymous peer review,Yes,6000 UAH,Yes,23070404
Cirugía Paraguaya,Double anonymous peer review,No,NA,Yes,23070420
